,image,label,scene,split
2023-03-02_garching-0230_1677756022717789110,train/image-2023-03-02_garching-0230_1677756022717789110.png,train/label-2023-03-02_garching-0230_1677756022717789110.png,2023-03-02_garching,train
2023-03-02_garching-0105_1677754960143693769,train/image-2023-03-02_garching-0105_1677754960143693769.png,train/label-2023-03-02_garching-0105_1677754960143693769.png,2023-03-02_garching,train
2023-03-02_garching-0232_1677756102382717512,train/image-2023-03-02_garching-0232_1677756102382717512.png,train/label-2023-03-02_garching-0232_1677756102382717512.png,2023-03-02_garching,train
2023-03-02_garching-0251_1677756244163751740,val/image-2023-03-02_garching-0251_1677756244163751740.png,val/label-2023-03-02_garching-0251_1677756244163751740.png,2023-03-02_garching,val
2023-03-02_garching-0171_1677755710351088487,train/image-2023-03-02_garching-0171_1677755710351088487.png,train/label-2023-03-02_garching-0171_1677755710351088487.png,2023-03-02_garching,train
2023-03-02_garching-0227_1677756011251124682,train/image-2023-03-02_garching-0227_1677756011251124682.png,train/label-2023-03-02_garching-0227_1677756011251124682.png,2023-03-02_garching,train
2023-03-02_garching-0030_1677754417420746416,train/image-2023-03-02_garching-0030_1677754417420746416.png,train/label-2023-03-02_garching-0030_1677754417420746416.png,2023-03-02_garching,train
2023-03-02_garching-0018_1677754323813048729,train/image-2023-03-02_garching-0018_1677754323813048729.png,train/label-2023-03-02_garching-0018_1677754323813048729.png,2023-03-02_garching,train
2023-03-02_garching-0034_1677754453707964093,train/image-2023-03-02_garching-0034_1677754453707964093.png,train/label-2023-03-02_garching-0034_1677754453707964093.png,2023-03-02_garching,train
2023-03-02_garching-0090_1677754874706745411,train/image-2023-03-02_garching-0090_1677754874706745411.png,train/label-2023-03-02_garching-0090_1677754874706745411.png,2023-03-02_garching,train
2023-03-02_garching-0216_1677755962794489536,train/image-2023-03-02_garching-0216_1677755962794489536.png,train/label-2023-03-02_garching-0216_1677755962794489536.png,2023-03-02_garching,train
2023-03-02_garching-0049_1677754626671157016,train/image-2023-03-02_garching-0049_1677754626671157016.png,train/label-2023-03-02_garching-0049_1677754626671157016.png,2023-03-02_garching,train
2023-03-02_garching-0362_1677757008008473188,train/image-2023-03-02_garching-0362_1677757008008473188.png,train/label-2023-03-02_garching-0362_1677757008008473188.png,2023-03-02_garching,train
2023-03-02_garching-0243_1677756205178729497,val/image-2023-03-02_garching-0243_1677756205178729497.png,val/label-2023-03-02_garching-0243_1677756205178729497.png,2023-03-02_garching,val
2023-03-02_garching-0153_1677755423524084710,train/image-2023-03-02_garching-0153_1677755423524084710.png,train/label-2023-03-02_garching-0153_1677755423524084710.png,2023-03-02_garching,train
2023-03-02_garching-0355_1677756962045462190,val/image-2023-03-02_garching-0355_1677756962045462190.png,val/label-2023-03-02_garching-0355_1677756962045462190.png,2023-03-02_garching,val
2023-03-02_garching-0145_1677755355131032321,train/image-2023-03-02_garching-0145_1677755355131032321.png,train/label-2023-03-02_garching-0145_1677755355131032321.png,2023-03-02_garching,train
2023-03-02_garching-0299_1677756588947340244,val/image-2023-03-02_garching-0299_1677756588947340244.png,val/label-2023-03-02_garching-0299_1677756588947340244.png,2023-03-02_garching,val
2023-03-02_garching-0314_1677756679280176014,val/image-2023-03-02_garching-0314_1677756679280176014.png,val/label-2023-03-02_garching-0314_1677756679280176014.png,2023-03-02_garching,val
2023-03-02_garching-0039_1677754486604942298,train/image-2023-03-02_garching-0039_1677754486604942298.png,train/label-2023-03-02_garching-0039_1677754486604942298.png,2023-03-02_garching,train
2023-03-02_garching-0190_1677755844647037601,train/image-2023-03-02_garching-0190_1677755844647037601.png,train/label-2023-03-02_garching-0190_1677755844647037601.png,2023-03-02_garching,train
2023-03-02_garching-0172_1677755718925119425,train/image-2023-03-02_garching-0172_1677755718925119425.png,train/label-2023-03-02_garching-0172_1677755718925119425.png,2023-03-02_garching,train
2023-03-02_garching-0287_1677756502800741078,val/image-2023-03-02_garching-0287_1677756502800741078.png,val/label-2023-03-02_garching-0287_1677756502800741078.png,2023-03-02_garching,val
2023-03-02_garching-0351_1677756928643219153,val/image-2023-03-02_garching-0351_1677756928643219153.png,val/label-2023-03-02_garching-0351_1677756928643219153.png,2023-03-02_garching,val
2023-03-02_garching-0133_1677755142382508771,train/image-2023-03-02_garching-0133_1677755142382508771.png,train/label-2023-03-02_garching-0133_1677755142382508771.png,2023-03-02_garching,train
